EMP NO,AGE,MARITAL STATUS,GENDER,EDU_ID,JOB_ID,BUSINESS TRAVEL,CF_ATTRITION LABEL,OVER TIME,DISTANCE FROM HOME,TRAINING TIMES LAST YEAR,HOURLY RATE,DAILY RATE,MONTHLY RATE,MONTHLY INCOME,JOB INVOLVEMENT,JOB SATISFACTION,ENVIRONMENT SATISFACTION,RELATIONSHIP SATISFACTION,PERCENT SALARY HIKE,WORK LIFE BALANCE,PERFORMANCE RATING,NUM COMPANIES WORKED,TOTAL WORKING YEARS,YEARS AT COMPANY,YEARS IN CURRENT ROLE,YEARS SINCE LAST PROMOTION,YEARS WITH CURR MANAGER,DATE JOINED,,,,,,
STAFF-127,58,MARRIED,FEMALE,19,3,TRAVEL_RARELY,EX-EMPLOYEES,NO,23,3,94,147,3465,10312,3,4,4,4,12,2,3,1,40,40,10,15,6,06-12-14,,,,,,
STAFF-128,19,SINGLE,MALE,11,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,22,2,50,528,26820,1675,3,3,4,4,19,2,3,1,0,0,0,0,0,04-12-12,,,,,,
STAFF-129,22,MARRIED,MALE,26,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,100,594,19299,2523,3,4,3,3,14,3,3,0,3,2,1,2,1,15-09-14,,,,,,
STAFF-130,49,MARRIED,FEMALE,19,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,20,2,96,470,5549,6567,3,1,3,3,14,2,3,1,16,15,11,5,11,11-07-00,,,,,,
STAFF-131,43,SINGLE,FEMALE,18,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,28,2,72,957,16090,4739,4,3,2,4,12,3,3,4,18,3,2,1,2,02-05-08,,,,,,
STAFF-132,50,SINGLE,FEMALE,13,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,12,3,77,809,6645,9208,3,4,3,4,11,3,3,4,16,2,2,2,1,10-01-06,,,,,,
STAFF-133,31,MARRIED,FEMALE,8,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,20,2,71,542,24788,4559,1,3,2,3,11,3,3,3,4,2,2,2,2,08-07-07,,,,,,
STAFF-134,41,DIVORCED,MALE,6,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,2,96,802,21196,8189,3,3,3,3,13,3,3,3,12,9,7,0,7,15-10-18,,,,,,
STAFF-135,26,MARRIED,FEMALE,6,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,25,3,61,1355,8916,2942,3,3,3,4,23,3,4,1,8,8,7,5,7,04-06-20,,,,,,
STAFF-136,36,DIVORCED,MALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,0,84,216,2819,4941,3,2,2,4,20,3,4,6,7,3,2,0,1,06-07-13,,,,,,
STAFF-137,51,SINGLE,MALE,9,6,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,8,2,53,1150,25150,10650,1,4,1,4,15,3,3,2,18,4,2,0,3,11-04-20,,,,,,
STAFF-138,39,MARRIED,FEMALE,9,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,1,47,1329,14590,5902,2,3,4,3,14,4,3,4,17,15,11,5,9,06-07-04,,,,,,
STAFF-139,25,MARRIED,MALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,28,3,41,959,24835,8639,2,3,1,4,18,3,3,2,6,2,2,2,2,02-10-14,,,,,,
STAFF-140,30,MARRIED,MALE,3,1,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,2,48,1240,13982,6347,3,4,3,4,19,1,3,0,12,11,9,4,7,13-02-19,,,,,,
STAFF-141,32,SINGLE,FEMALE,18,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,9,2,41,1033,10224,4200,3,1,1,1,22,4,4,7,10,5,4,0,4,01-10-20,,,,,,
STAFF-142,45,SINGLE,MALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,29,2,83,1316,9752,3452,3,4,3,2,13,2,3,5,9,6,5,0,3,12-03-12,,,,,,
STAFF-143,38,SINGLE,FEMALE,30,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,2,32,364,2302,4317,3,3,4,2,20,3,4,3,19,3,2,2,2,08-01-00,,,,,,
STAFF-144,30,SINGLE,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,18,4,75,438,23910,2632,3,3,1,3,14,2,3,1,5,5,4,0,4,01-05-23,,,,,,
STAFF-145,32,DIVORCED,MALE,17,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,9,2,35,689,22812,4668,1,4,4,4,17,4,3,0,9,8,7,0,7,13-10-14,,,,,,
STAFF-146,30,DIVORCED,FEMALE,28,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,3,84,201,10415,3204,3,1,4,4,14,3,3,5,8,3,2,2,2,14-01-12,,,,,,
STAFF-147,30,SINGLE,MALE,16,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,35,1427,11162,2720,2,4,2,4,13,3,3,0,6,5,3,1,2,04-07-23,,,,,,
STAFF-148,41,DIVORCED,MALE,8,5,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,10,2,91,857,12888,17181,2,1,4,2,13,2,3,4,21,7,6,7,7,13-01-14,,,,,,
STAFF-149,41,MARRIED,MALE,9,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,2,94,933,6961,2238,3,1,3,4,21,3,4,2,7,5,0,1,4,10-01-13,,,,,,
STAFF-150,19,SINGLE,FEMALE,16,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,3,79,1181,16102,1483,3,2,2,4,14,3,3,1,1,1,0,0,0,10-03-17,,,,,,
STAFF-151,40,DIVORCED,FEMALE,18,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,26,2,54,1395,8504,5605,3,2,2,1,11,3,3,1,20,20,7,2,13,02-03-16,,,,,,
STAFF-152,35,MARRIED,MALE,15,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,94,662,11439,7295,3,2,3,1,13,3,3,1,10,10,8,0,6,11-03-99,,,,,,
STAFF-153,53,MARRIED,MALE,12,11,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,3,34,1436,16047,2306,3,3,2,4,20,1,4,2,13,7,7,4,5,06-06-17,,,,,,
STAFF-154,45,DIVORCED,MALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,2,60,194,10901,2348,3,2,2,3,18,1,3,8,20,17,9,0,15,13-07-10,,,,,,
STAFF-155,32,SINGLE,FEMALE,13,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,8,2,43,967,15589,8998,3,4,2,4,14,3,3,1,9,9,8,3,7,08-06-12,,,,,,
STAFF-156,29,MARRIED,MALE,26,6,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,1,41,1496,26283,4319,3,3,4,1,13,3,3,1,10,10,7,0,9,09-07-04,,,,,,
STAFF-157,51,MARRIED,MALE,19,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,2,34,1169,13983,6132,2,3,2,3,17,3,3,2,10,1,0,0,0,05-07-16,,,,,,
STAFF-158,58,MARRIED,FEMALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,3,75,1145,11873,3346,2,2,2,2,20,2,4,4,9,1,0,0,0,12-01-19,,,,,,
STAFF-159,40,MARRIED,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,2,67,630,8552,10855,2,4,3,1,11,2,3,7,15,12,11,2,11,01-01-07,,,,,,
STAFF-160,34,MARRIED,FEMALE,14,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,3,75,303,11314,2231,3,3,3,4,18,3,3,6,6,4,3,1,2,06-01-13,,,,,,
STAFF-161,22,MARRIED,MALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,19,6,80,1256,11992,2323,3,4,3,1,24,3,4,1,2,2,2,2,2,08-03-12,,,,,,
STAFF-162,27,DIVORCED,MALE,18,8,NON-TRAVEL,CURRENT EMPLOYEES,NO,9,1,57,691,5970,2024,3,2,4,4,18,1,3,6,6,2,2,2,2,04-09-11,,,,,,
STAFF-163,28,MARRIED,MALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,21,2,42,440,6672,2713,3,4,3,3,11,1,3,1,5,5,2,0,2,14-03-00,,,,,,
STAFF-164,57,DIVORCED,MALE,7,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,24,2,83,334,23402,9439,4,4,3,2,16,1,3,3,12,5,3,1,4,07-04-17,,,,,,
STAFF-165,27,DIVORCED,MALE,18,8,NON-TRAVEL,CURRENT EMPLOYEES,YES,3,2,79,1450,25326,2566,2,3,3,4,15,2,3,1,1,1,1,0,1,05-04-11,,,,,,
STAFF-166,50,SINGLE,FEMALE,8,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,11,5,53,1452,17053,19926,3,2,3,2,15,3,3,3,21,5,4,4,4,09-04-09,,,,,,
STAFF-167,41,DIVORCED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,14,2,56,465,4609,2451,3,3,1,1,12,3,3,4,13,9,8,1,8,07-07-07,,,,,,
STAFF-168,30,MARRIED,FEMALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,2,41,1339,8053,9419,3,4,2,3,12,3,3,2,12,10,9,7,4,06-02-11,,,,,,
STAFF-169,38,SINGLE,FEMALE,9,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,59,702,12930,8686,2,4,1,3,22,4,4,4,12,8,3,0,7,13-03-15,,,,,,
STAFF-170,32,SINGLE,MALE,10,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,2,43,120,12430,3038,3,3,3,1,20,3,4,3,8,5,4,1,4,05-02-14,,,,,,
STAFF-171,27,MARRIED,MALE,28,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,17,3,51,1157,13364,3058,3,2,3,4,16,2,3,0,6,5,2,1,1,11-05-14,,,,,,
STAFF-172,19,SINGLE,FEMALE,26,11,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,1,5,100,602,20989,2325,1,1,3,1,21,4,4,0,1,0,0,0,0,11-11-12,,,,,,
STAFF-173,36,SINGLE,MALE,17,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,3,3,30,1480,15062,2088,3,2,4,3,12,2,3,4,13,8,7,7,2,10-03-23,,,,,,
STAFF-174,30,DIVORCED,MALE,18,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,9,4,66,111,11012,3072,3,1,3,3,11,3,3,1,12,12,9,6,10,06-05-13,,,,,,
STAFF-175,45,DIVORCED,FEMALE,7,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,4,3,30,1268,6319,5006,3,1,3,1,11,4,3,4,9,5,4,0,3,14-03-84,,,,,,
STAFF-176,56,DIVORCED,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,8,3,67,713,13939,4257,3,1,3,3,18,3,3,4,19,2,2,2,2,10-11-17,,,,,,
STAFF-177,33,SINGLE,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,90,134,10515,2500,3,4,3,1,14,4,3,0,4,3,1,0,2,07-12-17,,,,,,
STAFF-178,19,SINGLE,MALE,8,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,47,303,9241,1102,2,4,2,3,22,2,4,1,1,1,0,1,0,09-03-08,,,,,,
STAFF-179,46,DIVORCED,FEMALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,92,526,2137,10453,3,1,2,3,25,3,4,1,24,24,13,15,7,08-07-19,,,,,,
STAFF-180,38,SINGLE,FEMALE,7,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,3,75,1380,6319,2288,3,4,3,3,12,3,3,1,2,2,2,2,1,04-05-08,,,,,,
STAFF-181,31,MARRIED,FEMALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,12,0,95,140,6984,3929,3,4,3,3,23,3,4,8,7,4,2,0,2,06-03-99,,,,,,
STAFF-182,34,SINGLE,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,27,3,95,629,5711,2311,3,2,4,4,15,3,3,2,9,3,2,1,2,15-08-15,,,,,,
STAFF-183,41,SINGLE,FEMALE,12,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,20,5,70,1356,21728,3140,3,2,2,4,22,2,4,1,4,4,3,0,2,15-10-17,,,,,,
STAFF-184,50,MARRIED,MALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,86,328,3425,3690,2,3,3,4,15,2,3,2,5,3,2,0,2,05-03-15,,,,,,
STAFF-185,53,DIVORCED,FEMALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,13,3,57,1084,26250,4450,4,1,4,3,11,3,3,1,5,4,2,1,3,09-07-16,,,,,,
STAFF-186,33,MARRIED,FEMALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,14,5,72,931,4673,2756,3,2,4,4,13,3,3,1,8,8,7,1,6,14-10-19,,,,,,
STAFF-187,40,MARRIED,FEMALE,16,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,2,46,989,6499,19033,3,3,4,2,14,3,3,1,21,20,8,9,9,09-02-10,,,,,,
STAFF-188,55,SINGLE,MALE,19,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,14,3,61,692,13339,18722,4,2,3,4,11,3,3,8,36,24,15,2,15,12-02-04,,,,,,
STAFF-189,34,MARRIED,MALE,6,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,2,45,1069,14074,9547,2,3,4,3,17,2,3,1,10,10,9,1,9,08-08-11,,,,,,
STAFF-190,51,SINGLE,FEMALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,6,98,313,7192,13734,3,2,4,3,18,3,3,3,21,7,7,1,0,12-12-13,,,,,,
STAFF-191,52,MARRIED,MALE,9,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,5,65,699,5678,19999,2,3,3,1,14,3,3,0,34,33,18,11,9,06-09-12,,,,,,
STAFF-192,27,SINGLE,FEMALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,2,99,894,11781,2279,3,2,4,4,16,2,3,1,7,7,7,0,3,14-10-10,,,,,,
STAFF-193,35,MARRIED,MALE,7,6,TRAVEL_RARELY,EX-EMPLOYEES,YES,23,1,50,556,15497,5916,2,3,2,1,13,3,3,3,8,1,0,0,1,06-10-07,,,,,,
STAFF-194,43,DIVORCED,MALE,18,8,NON-TRAVEL,CURRENT EMPLOYEES,NO,7,3,37,1344,5228,2089,4,4,4,4,14,4,3,4,7,5,4,2,2,14-06-22,,,,,,
STAFF-195,45,MARRIED,MALE,17,5,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,1,65,1195,20462,16792,2,4,1,4,23,3,4,9,22,20,8,11,8,09-10-08,,,,,,
STAFF-196,37,MARRIED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,21,3,65,290,22977,3564,4,1,2,1,12,2,3,1,8,8,7,1,7,10-06-20,,,,,,
STAFF-197,35,SINGLE,FEMALE,18,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,5,37,138,15986,4425,3,2,2,4,11,3,3,5,10,6,2,1,2,15-05-10,,,,,,
STAFF-198,42,DIVORCED,FEMALE,17,6,NON-TRAVEL,CURRENT EMPLOYEES,NO,21,5,36,926,16439,5265,3,3,3,2,16,3,3,2,11,5,3,0,2,07-01-13,,,,,,
STAFF-199,38,MARRIED,MALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,88,1261,7259,6553,3,3,4,2,14,3,3,9,14,1,0,0,0,11-12-21,,,,,,
STAFF-200,38,MARRIED,MALE,28,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,29,3,54,1084,4185,6261,3,4,4,1,18,1,3,3,9,7,7,1,7,06-06-21,,,,,,
STAFF-201,27,MARRIED,MALE,26,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,1,60,472,9679,4298,2,1,3,3,19,3,3,5,6,2,2,2,0,09-07-18,,,,,,
STAFF-202,49,DIVORCED,MALE,9,6,NON-TRAVEL,CURRENT EMPLOYEES,YES,18,0,92,1002,23793,6804,3,4,4,1,15,3,3,1,7,7,7,1,7,12-03-16,,,,,,
STAFF-203,34,DIVORCED,MALE,19,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,10,4,43,878,5972,3815,3,3,4,4,17,4,3,1,5,5,3,2,0,07-04-12,,,,,,
STAFF-204,40,MARRIED,MALE,17,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,19,2,99,905,16523,2741,3,4,3,3,15,4,3,8,15,7,2,3,7,14-09-12,,,,,,
STAFF-205,38,MARRIED,MALE,16,3,TRAVEL_RARELY,EX-EMPLOYEES,YES,29,2,70,1180,11354,6673,3,1,2,2,19,3,3,7,17,1,0,0,0,08-06-12,,,,,,
STAFF-206,29,MARRIED,FEMALE,13,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,27,3,35,121,24525,7639,3,4,2,4,22,2,4,1,10,10,4,1,9,03-03-23,,,,,,
STAFF-207,22,DIVORCED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,2,60,1136,12392,2328,4,2,4,1,16,2,3,1,4,4,2,2,2,06-05-14,,,,,,
STAFF-208,36,SINGLE,FEMALE,16,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,18,2,73,635,7703,2153,3,4,2,1,13,3,3,1,8,8,1,1,7,05-10-14,,,,,,
STAFF-209,40,MARRIED,MALE,10,3,NON-TRAVEL,CURRENT EMPLOYEES,NO,9,5,63,1151,14242,4876,2,4,4,4,14,1,3,9,5,3,2,0,2,11-02-14,,,,,,
STAFF-210,46,DIVORCED,MALE,19,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,97,644,12368,9396,3,1,4,3,16,3,3,7,17,4,2,0,3,08-02-18,,,,,,
STAFF-211,32,MARRIED,MALE,19,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,4,2,32,1045,25812,10400,1,4,4,3,11,2,3,1,14,14,8,9,8,08-01-17,,,,,,
STAFF-212,30,SINGLE,MALE,6,6,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,2,88,829,20925,8474,2,3,3,3,22,3,4,1,12,11,8,5,8,15-05-12,,,,,,
STAFF-213,27,SINGLE,FEMALE,8,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,20,2,90,1242,12916,9981,3,3,4,4,14,3,3,1,7,7,7,0,7,09-11-21,,,,,,
STAFF-214,51,MARRIED,MALE,9,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,5,81,1469,15736,12490,2,2,2,4,16,1,3,5,16,10,9,4,7,05-10-19,,,,,,
STAFF-215,30,SINGLE,FEMALE,28,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,5,88,1005,8556,2657,3,1,4,3,11,3,3,5,8,5,2,0,4,03-07-08,,,,,,
STAFF-216,41,SINGLE,FEMALE,8,9,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,3,75,896,14674,13591,3,4,4,3,18,3,3,3,16,1,0,0,0,06-01-13,,,,,,
STAFF-217,30,SINGLE,FEMALE,14,10,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,26,5,52,334,22967,6696,2,1,3,3,15,2,3,5,9,6,3,0,1,11-10-13,,,,,,
STAFF-218,29,SINGLE,MALE,28,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,1,1,85,992,19757,2058,3,3,3,4,14,2,3,0,7,6,2,1,5,07-02-18,,,,,,
STAFF-219,45,SINGLE,FEMALE,18,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,6,2,57,1052,16840,8865,2,4,4,4,12,3,3,6,23,19,7,12,8,03-01-10,,,,,,
STAFF-220,54,MARRIED,FEMALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,4,52,1147,17011,5940,3,1,4,4,14,3,3,2,16,6,2,0,5,07-04-09,,,,,,
STAFF-221,36,SINGLE,MALE,7,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,3,62,1396,9945,5914,3,2,4,4,16,4,3,8,16,13,11,3,7,13-11-16,,,,,,
STAFF-222,33,MARRIED,FEMALE,19,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,3,47,147,13248,2622,2,2,3,4,21,3,4,6,7,3,2,1,1,05-06-13,,,,,,
STAFF-223,37,DIVORCED,MALE,23,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,11,1,47,663,10056,12185,3,4,2,3,14,3,3,1,10,10,8,0,7,02-11-14,,,,,,
STAFF-224,38,DIVORCED,MALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,6,76,119,9647,10609,3,3,1,3,12,2,3,0,17,16,10,5,13,09-03-16,,,,,,
STAFF-225,31,MARRIED,MALE,19,6,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,2,90,979,4381,4345,1,3,3,4,12,3,3,0,6,5,4,1,4,02-09-20,,,,,,
STAFF-226,59,MARRIED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,6,70,142,8456,2177,2,4,3,1,17,3,3,3,7,1,0,0,0,01-07-10,,,,,,
STAFF-227,37,DIVORCED,MALE,14,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,4,2,41,319,2539,2793,3,4,1,3,17,3,3,4,13,9,8,5,8,01-05-08,,,,,,
STAFF-228,29,MARRIED,FEMALE,16,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,5,42,1413,6599,7918,3,4,2,4,14,3,3,1,11,11,10,4,1,03-11-14,,,,,,
STAFF-229,35,SINGLE,FEMALE,13,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,3,92,944,9096,8789,3,3,3,1,14,4,3,1,10,10,7,0,8,14-03-20,,,,,,
STAFF-230,29,SINGLE,MALE,16,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,18,3,86,896,14961,2389,2,4,3,3,13,2,3,1,4,4,3,0,1,05-03-13,,,,,,
STAFF-231,52,SINGLE,FEMALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,89,1323,3300,3212,2,4,3,2,15,2,3,7,6,2,2,2,2,15-03-03,,,,,,
STAFF-232,42,MARRIED,MALE,27,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,3,58,532,4933,19232,3,4,3,4,11,3,3,1,22,22,17,11,15,07-01-14,,,,,,
STAFF-233,59,MARRIED,MALE,17,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,2,52,818,25657,2267,3,3,2,4,17,2,3,8,7,2,2,2,2,15-10-17,,,,,,
STAFF-234,50,DIVORCED,FEMALE,19,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,68,854,24118,19517,3,4,4,3,11,2,3,3,32,7,0,0,6,11-10-18,,,,,,
STAFF-235,33,MARRIED,MALE,18,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,14,2,58,813,22149,2436,3,4,3,3,13,1,3,5,8,5,4,0,4,05-11-05,,,,,,
STAFF-236,43,MARRIED,FEMALE,13,9,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,16,3,80,1034,7744,16064,3,4,4,3,22,3,4,5,22,17,13,1,9,13-12-20,,,,,,
STAFF-237,33,MARRIED,FEMALE,7,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,39,465,21509,2707,3,1,1,1,20,4,4,7,13,9,7,1,7,04-01-11,,,,,,
STAFF-238,52,SINGLE,MALE,9,9,NON-TRAVEL,CURRENT EMPLOYEES,YES,2,2,79,771,21030,19068,2,3,1,4,18,4,3,1,33,33,7,15,12,05-05-12,,,,,,
STAFF-239,32,MARRIED,FEMALE,7,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,5,56,1401,20990,3931,3,2,3,1,11,3,3,2,6,4,3,1,2,05-09-16,,,,,,
STAFF-240,32,SINGLE,MALE,8,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,2,62,515,9571,3730,2,3,4,4,14,1,3,0,4,3,2,1,2,06-06-09,,,,,,
STAFF-241,39,DIVORCED,FEMALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,1,96,1431,15417,2232,3,3,3,3,14,3,3,7,7,3,2,1,2,06-10-21,,,,,,
STAFF-242,32,MARRIED,MALE,14,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,26,2,100,976,12069,4465,3,4,3,1,18,3,3,0,4,3,2,2,2,06-01-13,,,,,,
STAFF-243,41,DIVORCED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,19,2,36,1411,19877,3072,3,1,3,1,16,2,3,2,17,1,0,0,0,14-03-17,,,,,,
STAFF-244,40,DIVORCED,MALE,27,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,24,3,62,1300,24447,3319,3,4,1,1,17,3,3,1,9,9,8,4,7,04-09-21,,,,,,
STAFF-245,45,MARRIED,MALE,23,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,70,252,15970,19202,4,4,3,3,11,3,3,0,25,24,0,1,7,15-11-98,,,,,,
STAFF-246,31,DIVORCED,MALE,19,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,3,3,73,1327,13523,13675,3,3,2,1,12,3,3,9,9,2,2,2,2,14-12-17,,,,,,
STAFF-247,33,MARRIED,FEMALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,2,63,832,14776,2911,2,4,3,3,13,2,3,1,2,2,2,0,2,15-12-22,,,,,,
STAFF-248,34,MARRIED,MALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,84,470,23687,5957,2,1,4,2,13,3,3,6,13,11,9,5,9,10-06-14,,,,,,
STAFF-249,37,MARRIED,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,83,1017,18697,3920,2,1,3,1,14,2,3,2,17,3,1,0,2,13-08-14,,,,,,
STAFF-250,45,MARRIED,MALE,9,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,7,1,77,1199,5118,6434,4,3,1,4,17,3,3,4,9,3,2,0,2,09-01-11,,,,,,
STAFF-251,37,DIVORCED,MALE,18,6,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,10,5,61,504,22573,10048,3,3,1,2,11,3,3,6,17,1,0,0,0,08-06-20,,,,,,
STAFF-252,39,SINGLE,FEMALE,29,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,1,64,505,6420,10938,3,3,3,4,25,3,4,0,20,19,6,11,8,09-12-14,,,,,,
STAFF-253,29,SINGLE,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,15,1,60,665,22673,2340,3,4,3,1,19,3,3,1,6,6,5,1,5,12-05-15,,,,,,
STAFF-254,42,SINGLE,FEMALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,17,1,82,916,23016,6545,4,1,4,3,13,3,3,3,10,3,2,0,2,14-10-18,,,,,,
STAFF-255,29,DIVORCED,MALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,20,2,45,1247,10732,6931,3,4,4,4,14,3,3,2,10,3,2,0,2,13-06-17,,,,,,
